text,label
Government announces new education policy for students (report 0),0
Scientists confirm water found on Mars after new research (report 0),0
Election commission releases official voting data (report 0),0
NASA launches new satellite to study climate change (report 0),0
Finance ministry announces tax relief for middle class (report 0),0
Supreme Court passes new judgment on environmental law (report 0),0
WHO releases new global health guidelines (report 0),0
ISRO successfully tests new launch vehicle (report 0),0
Central bank revises interest rates after review (report 0),0
New renewable energy project inaugurated by government (report 0),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 0),1
You won’t believe how this man became rich in one day (claim 0),1
Secret revealed: cure for all diseases doctors hide (claim 0),1
Viral hoax claims mobile towers spread dangerous virus (claim 0),1
Click here to know shocking truth no one talks about (claim 0),1
Scientists shocked by alien life found on Earth (claim 0),1
Government hiding truth about free money scheme (claim 0),1
Drinking this one liquid will make you immortal (claim 0),1
Shocking discovery proves world will end next week (claim 0),1
This simple trick can double your money instantly (claim 0),1
Government announces new education policy for students (report 1),0
Scientists confirm water found on Mars after new research (report 1),0
Election commission releases official voting data (report 1),0
NASA launches new satellite to study climate change (report 1),0
Finance ministry announces tax relief for middle class (report 1),0
Supreme Court passes new judgment on environmental law (report 1),0
WHO releases new global health guidelines (report 1),0
ISRO successfully tests new launch vehicle (report 1),0
Central bank revises interest rates after review (report 1),0
New renewable energy project inaugurated by government (report 1),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 1),1
You won’t believe how this man became rich in one day (claim 1),1
Secret revealed: cure for all diseases doctors hide (claim 1),1
Viral hoax claims mobile towers spread dangerous virus (claim 1),1
Click here to know shocking truth no one talks about (claim 1),1
Scientists shocked by alien life found on Earth (claim 1),1
Government hiding truth about free money scheme (claim 1),1
Drinking this one liquid will make you immortal (claim 1),1
Shocking discovery proves world will end next week (claim 1),1
This simple trick can double your money instantly (claim 1),1
Government announces new education policy for students (report 2),0
Scientists confirm water found on Mars after new research (report 2),0
Election commission releases official voting data (report 2),0
NASA launches new satellite to study climate change (report 2),0
Finance ministry announces tax relief for middle class (report 2),0
Supreme Court passes new judgment on environmental law (report 2),0
WHO releases new global health guidelines (report 2),0
ISRO successfully tests new launch vehicle (report 2),0
Central bank revises interest rates after review (report 2),0
New renewable energy project inaugurated by government (report 2),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 2),1
You won’t believe how this man became rich in one day (claim 2),1
Secret revealed: cure for all diseases doctors hide (claim 2),1
Viral hoax claims mobile towers spread dangerous virus (claim 2),1
Click here to know shocking truth no one talks about (claim 2),1
Scientists shocked by alien life found on Earth (claim 2),1
Government hiding truth about free money scheme (claim 2),1
Drinking this one liquid will make you immortal (claim 2),1
Shocking discovery proves world will end next week (claim 2),1
This simple trick can double your money instantly (claim 2),1
Government announces new education policy for students (report 3),0
Scientists confirm water found on Mars after new research (report 3),0
Election commission releases official voting data (report 3),0
NASA launches new satellite to study climate change (report 3),0
Finance ministry announces tax relief for middle class (report 3),0
Supreme Court passes new judgment on environmental law (report 3),0
WHO releases new global health guidelines (report 3),0
ISRO successfully tests new launch vehicle (report 3),0
Central bank revises interest rates after review (report 3),0
New renewable energy project inaugurated by government (report 3),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 3),1
You won’t believe how this man became rich in one day (claim 3),1
Secret revealed: cure for all diseases doctors hide (claim 3),1
Viral hoax claims mobile towers spread dangerous virus (claim 3),1
Click here to know shocking truth no one talks about (claim 3),1
Scientists shocked by alien life found on Earth (claim 3),1
Government hiding truth about free money scheme (claim 3),1
Drinking this one liquid will make you immortal (claim 3),1
Shocking discovery proves world will end next week (claim 3),1
This simple trick can double your money instantly (claim 3),1
Government announces new education policy for students (report 4),0
Scientists confirm water found on Mars after new research (report 4),0
Election commission releases official voting data (report 4),0
NASA launches new satellite to study climate change (report 4),0
Finance ministry announces tax relief for middle class (report 4),0
Supreme Court passes new judgment on environmental law (report 4),0
WHO releases new global health guidelines (report 4),0
ISRO successfully tests new launch vehicle (report 4),0
Central bank revises interest rates after review (report 4),0
New renewable energy project inaugurated by government (report 4),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 4),1
You won’t believe how this man became rich in one day (claim 4),1
Secret revealed: cure for all diseases doctors hide (claim 4),1
Viral hoax claims mobile towers spread dangerous virus (claim 4),1
Click here to know shocking truth no one talks about (claim 4),1
Scientists shocked by alien life found on Earth (claim 4),1
Government hiding truth about free money scheme (claim 4),1
Drinking this one liquid will make you immortal (claim 4),1
Shocking discovery proves world will end next week (claim 4),1
This simple trick can double your money instantly (claim 4),1
Government announces new education policy for students (report 5),0
Scientists confirm water found on Mars after new research (report 5),0
